id,frbr_uri,title,number,year,status,content_verified,type,issuing_body,source,search_score,snippet
,/akn/id/act/permenkeu/2014/170-pmk-01-2014,Peraturan Menteri Nomor 170-pmk-01-2014 Tahun 2014 tentang TATA CARA PENGADAAN JASA KONSULTAN HUKUM DAN ARBITER DALAM RANGKA PENANGANAN GUGATAN ARBITRASE DI INTERNATIONALCENTRE FOR SETTLEMENT OF INVESTMENT DISPUTES YANG DIAJUKAN OLEH NUSA TENGGARA PARTNERSHIP B.V. DAN PT NEWMONT NUSA TENGGARA TERHADAP PEMERINTAH REPUBLIK INDONESIA DAN PENGAJUAN GUGATAN ARBITRASE PEMERINTAH REPUBLIK INDONESIA KEPADA PT NEWMONT NUSA TENGGARA BERDASARKAN ARBITRATION RULES OF THE UNITED NATIONS COMMISSION ON INTERNATIONAL TRADE LAW,170-pmk-01-2014,2014,berlaku,,PERMEN,,search:arbitrase,0.0865452,Tahun 2014 tentang TATA CARA PENGADAAN JASA KONSULTAN HUKUM DAN ARBITER DALAM RANGKA PENANGANAN GUGATAN <b>ARBITRASE</b> DI INTERNATIONALCENTRE FOR SETTLEMENT OF INVESTMENT DISPUTES YANG DIAJUKAN OLEH NUSA TENGGARA PARTNERSHIP B.V. DAN PT NEWMONT NUSA TENGGARA TERHADAP PEMERINTAH REPUBLIK INDONESIA ... PENGAJUAN GUGATAN <b>ARBITRASE</b> PEMERINTAH REPUBLIK INDONESIA KEPADA PT NEWMONT NUSA TENGGARA BERDASARKAN ARBITRATION RULES OF THE UNITED NATIONS COMMISSION ON INTERNATIONAL TRADE LAW TATA CARA PENGADAAN JASA KONSULTAN HUKUM DAN ARBITER DALAM RANGKA PENANGANAN GUGATAN <b>ARBITRASE</b> DI INTERNATIONALCENTRE FOR SETTLEMENT
,/akn/id/act/permen-esdm/2014/38,Peraturan Menteri Nomor 38 Tahun 2014 tentang PENERAPAN SISTEM MANAJEMEN KESELAMATAN PERTAMBANGAN MINERAL DAN BATUBARA,38,2014,berlaku,,PERMEN,,search:minerba,0.0413728,Hasil pelaksanaan audit internal dan/atau audit eksternal penerapan SMKP <b>Minerba</b> sebagaimana dimaksud pada ayat (2) dapat menjadi dasar bagi KAIT dalam menetapkan tingkat pencapaian penerapan SMKP <b>Minerba</b> dan memberikan rekomendasi dalam rangka mencapai tujuan penerapan SMKP <b>Minerba</b>
,/akn/id/act/permendag/2014/39-m-dag-per-7-2014,Peraturan Menteri Nomor 39-m-dag-per-7-2014 Tahun 2014 tentang KETENTUAN EKSPOR BATUBARA DAN PRODUK BATUBARA,39-m-dag-per-7-2014,2014,berlaku,,PERMEN,,search:minerba,0.0303964,"bidang energi dan sumber daya mineral.

19. Direktur Jenderal adalah Direktur Jenderal Perdagangan Luar Negeri, Kementerian Perdagangan.
20. Dirjen <b>Minerba</b> adalah Direktur Jenderal Mineral dan Batubara, Kementerian Energi dan Sumber Daya Mineral"
,/akn/id/act/permendag/2014/96-m-dag-per-12-2014,Peraturan Menteri Nomor 96-m-dag-per-12-2014 Tahun 2014 tentang PENDELEGASIAN WEWENANG PENERBITAN PERIZINAN PENANAMAN MODAL DI BIDANG PERDAGANGAN KEPADA KEPALA BADAN KOORDINASI PENANAMAN MODAL DALAM RANGKA PELAKSANAAN PELAYANAN TERPADU SATU PINTU,96-m-dag-per-12-2014,2014,berlaku,,PERMEN,,search:penanaman modal,0.487638,Tahun 2014 Peraturan Menteri Nomor 96-m-dag-per-12-2014 Tahun 2014 tentang PENDELEGASIAN WEWENANG PENERBITAN PERIZINAN <b>PENANAMAN</b> <b>MODAL</b> DI BIDANG PERDAGANGAN KEPADA KEPALA BADAN KOORDINASI <b>PENANAMAN</b> <b>MODAL</b> DALAM RANGKA PELAKSANAAN PELAYANAN TERPADU SATU PINTU PENDELEGASIAN WEWENANG PENERBITAN PERIZINAN ... <b>PENANAMAN</b> <b>MODAL</b> DI BIDANG PERDAGANGAN KEPADA KEPALA BADAN KOORDINASI <b>PENANAMAN</b> <b>MODAL</b> DALAM RANGKA PELAKSANAAN PELAYANAN TERPADU SATU PINTU
,/akn/id/act/perpres/2014/78,Peraturan Presiden Nomor 78 Tahun 2014 tentang Modal Sebagai Kuasa Hukum Pemerintah Republik Indonesia untuk Melakukan Penanganan Gugatan Arbitrase di International Centre For Settlement of Investment Disputes Terkait Gugatan Nusa Tenggara Partnership B.v. dan Pt Newmont Nusa Tenggara Kepada Pemerintah Republik Indonesia dan Pengajuan Gugatan Arbitrase Pemerintah Ri Kepada Pt Newmont Nusa Tenggara Berdasarkan Arbitration Rules of The Un Commission On International Trade Law,78,2014,berlaku,,PERPRES,,search:arbitrase,0.0865452,Peraturan Presiden Nomor 78 Tahun 2014 tentang Modal Sebagai Kuasa Hukum Pemerintah Republik Indonesia untuk Melakukan Penanganan Gugatan <b>Arbitrase</b> di International Centre For Settlement of Investment Disputes Terkait Gugatan Nusa Tenggara Partnership B.v. dan Pt Newmont Nusa Tenggara Kepada Pemerintah ... Republik Indonesia dan Pengajuan Gugatan <b>Arbitrase</b> Pemerintah Ri Kepada Pt Newmont Nusa Tenggara Berdasarkan Arbitration Rules of The Un Commission On International Trade Law MODAL SEBAGAI KUASA HUKUM PEMERINTAH REPUBLIK INDONESIA UNTUK MELAKUKAN PENANGANAN GUGATAN <b>ARBITRASE</b> DI INTERNATIONAL CENTRE
,/akn/id/act/peraturan-bkpm/2013/7,Peraturan Badan Nomor 7 Tahun 2013 tentang PENYELENGGARAAN FUNGSI PELAYANAN TERPADU SATU PINTU BIDANG PENANAMAN MODAL DI BADAN KOORDINASI PENANAMAN MODAL,7,2013,berlaku,,PERBAN,,search:penanaman modal,0.615527,Nomor No 7 Tahun 2013 Peraturan Badan Nomor 7 Tahun 2013 tentang PENYELENGGARAAN FUNGSI PELAYANAN TERPADU SATU PINTU BIDANG <b>PENANAMAN</b> <b>MODAL</b> DI BADAN KOORDINASI <b>PENANAMAN</b> <b>MODAL</b> PENYELENGGARAAN FUNGSI PELAYANAN TERPADU SATU PINTU BIDANG <b>PENANAMAN</b> <b>MODAL</b> DI BADAN KOORDINASI <b>PENANAMAN</b> <b>MODAL</b>
,/akn/id/act/permen-esdm/2013/25,"Peraturan Menteri Nomor 25 Tahun 2013 tentang PERUBAHAN ATAS PERATURAN MENTERI ENERGI DAN SUMBER DAYA MINERAL NOMOR 32 TAHUN 2008 TENTANG PENYEDIAAN, PEMANFAATAN, DAN TATA NIAGA BAHAN BAKAR NABATI (BIOFUEL) SEBAGAI BAHAN BAKAR LAIN",25,2013,berlaku,,PERMEN,,search:minerba,0.0303964,Direktur Jenderal dan Dirjen <b>Minerba</b> melakukan pembinaan atas pelaksanaan kewajiban pemanfaatan Bahan Bakar Nabati ( Biofuel
,/akn/id/act/permen-esdm/2013/28,Peraturan Menteri Nomor 28 Tahun 2013 tentang TATA CARA LELANG WILAYAH IZIN USAHA PERTAMBANGAN DAN WILAYAH IZIN USAHA PERTAMBANGAN KHUSUS PADA KEGIATAN USAHA PERTAMBANGAN MINERAL LOGAM DAN BATUBARA,28,2013,berlaku,,PERMEN,,search:pertambangan,0.0906656,Menteri Nomor No 28 Tahun 2013 Peraturan Menteri Nomor 28 Tahun 2013 tentang TATA CARA LELANG WILAYAH IZIN USAHA <b>PERTAMBANGAN</b> DAN WILAYAH IZIN USAHA <b>PERTAMBANGAN</b> KHUSUS PADA KEGIATAN USAHA <b>PERTAMBANGAN</b> MINERAL LOGAM DAN BATUBARA TATA CARA LELANG WILAYAH IZIN USAHA ... <b>PERTAMBANGAN</b> DAN WILAYAH IZIN USAHA <b>PERTAMBANGAN</b> KHUSUS PADA KEGIATAN USAHA <b>PERTAMBANGAN</b> MINERAL LOGAM DAN BATUBARA
,/akn/id/act/pp/2013/83,Peraturan Pemerintah Nomor 83 Tahun 2013 tentang Modal Awal Untuk Badan Penyelenggara Jaminan Sosial Ketenagakerjaan,83,2013,berlaku,,PP,,search:ketenagakerjaan,0.0759909,Nomor No 83 Tahun 2013 Peraturan Pemerintah Nomor 83 Tahun 2013 tentang Modal Awal Untuk Badan Penyelenggara Jaminan Sosial <b>Ketenagakerjaan</b> MODAL AWAL UNTUK BADAN PENYELENGGARA JAMINAN SOSIAL <b>KETENAGAKERJAAN</b>
,/akn/id/act/pp/2013/99,Peraturan Pemerintah Nomor 99 Tahun 2013 tentang Pengelolaan Aset Jaminan Sosial Ketenagakerjaan,99,2013,berlaku,,PP,,search:ketenagakerjaan,0.0759909,Peraturan Pemerintah Nomor No 99 Tahun 2013 Peraturan Pemerintah Nomor 99 Tahun 2013 tentang Pengelolaan Aset Jaminan Sosial <b>Ketenagakerjaan</b> PENGELOLAAN ASET JAMINAN SOSIAL <b>KETENAGAKERJAAN</b>
1678.0,/akn/id/act/uu/2013/10,Undang-Undang Nomor 10 Tahun 2013 tentang Pengesahan Rotterdam Convention On The Prior Informed Consent Procedure For Certain Hazardous Chemicals and Pesticides In International Trade (konvensi Rotterdam Tentang Prosedur Persetujuan Atas Dasar  Informasi Awal untuk Bahan Kimia dan Pestisida Berbahaya Tertentu dalam Perdagangan Internasional),10,2013,berlaku,True,UU,,list_by_year,,
,/akn/id/act/keppres/2012/30,Keputusan Presiden Nomor 30 Tahun 2012 tentang Penunjukan Pemerintah Kabupaten Kutai Timur Untuk Menjadi Pihak Dalam Proses Arbitrase International Centre For Settlement Of Invesment Disputes Terkait Gugatan Churchill Mining,30,2012,berlaku,,KEPPRES,,search:arbitrase,0.0759909,Tahun 2012 Keputusan Presiden Nomor 30 Tahun 2012 tentang Penunjukan Pemerintah Kabupaten Kutai Timur Untuk Menjadi Pihak Dalam Proses <b>Arbitrase</b> International Centre For Settlement Of Invesment Disputes Terkait Gugatan Churchill Mining PENUNJUKAN PEMERINTAH KABUPATEN KUTAI TIMUR UNTUK MENJADI PIHAK DALAM ... PROSES <b>ARBITRASE</b> INTERNATIONAL CENTRE FOR SETTLEMENT OF INVESMENT DISPUTES TERKAIT GUGATAN CHURCHILL MINING
,/akn/id/act/perda-kabupaten-pesawaran/2012/4,Peraturan Daerah Nomor 4 Tahun 2012 tentang RENCANA TATA RUANG WILAYAH  KABUPATEN PESAWARAN,4,2012,berlaku,,PERDA,,search:pencabutan izin,0.425629,"<b>Pencabutan</b> <b>izin</b> sebagaimana dimaksud pada ayat (4) huruf e dilakukan melalui langkah-langkah sebagai berikut:
a. Menerbitkan surat pemberitahuan sekaligus <b>pencabutan</b> <b>izin</b> oleh pejabat yang berwenang melakukan penertiban pelanggaran pemanfaatan ruang;
b. Apabila pelanggar mengabaikan surat pemberitahuan yang disampaikan, pejabat ... yang berwenang menerbitkan surat keputusan pengenaan sanksi <b>pencabutan</b> <b>izin</b> pemanfaatan ruang;
c. Pejabat yang berwenang memberitahukan kepada pelanggar mengenai  pengenaan sanksi <b>pencabutan</b> <b>izin</b>;
d. Pejabat yang berwenang melakukan tindakan penertiban mengajukan  permohonan <b>pencabutan</b> <b>izin</b> kepada pejabat yang memiliki kewenangan untuk"
